relation,relation_id
http://www.wikidata.org/prop/direct/P2548,141
http://www.wikidata.org/prop/direct/P2564,142
http://www.wikidata.org/prop/direct/P2578,143
http://www.wikidata.org/prop/direct/P2579,144
http://www.wikidata.org/prop/direct/P2596,145
http://www.wikidata.org/prop/direct/P26,146
http://www.wikidata.org/prop/direct/P2633,147
http://www.wikidata.org/prop/direct/P264,148
http://www.wikidata.org/prop/direct/P2643,149
http://www.wikidata.org/prop/direct/P2650,150
http://www.wikidata.org/prop/direct/P2652,151
http://www.wikidata.org/prop/direct/P2670,152
http://www.wikidata.org/prop/direct/P27,153
http://www.wikidata.org/prop/direct/P2737,154
http://www.wikidata.org/prop/direct/P2746,155
http://www.wikidata.org/prop/direct/P275,156
http://www.wikidata.org/prop/direct/P276,157
http://www.wikidata.org/prop/direct/P277,158
http://www.wikidata.org/prop/direct/P279,159
http://www.wikidata.org/prop/direct/P282,160
http://www.wikidata.org/prop/direct/P2828,161
http://www.wikidata.org/prop/direct/P2852,162
http://www.wikidata.org/prop/direct/P2853,163
http://www.wikidata.org/prop/direct/P2868,164
http://www.wikidata.org/prop/direct/P2872,165
http://www.wikidata.org/prop/direct/P2894,166
http://www.wikidata.org/prop/direct/P291,167
http://www.wikidata.org/prop/direct/P2922,168
http://www.wikidata.org/prop/direct/P2936,169
http://www.wikidata.org/prop/direct/P2959,170
http://www.wikidata.org/prop/direct/P2992,171
http://www.wikidata.org/prop/direct/P30,172
http://www.wikidata.org/prop/direct/P301,173
http://www.wikidata.org/prop/direct/P306,174
http://www.wikidata.org/prop/direct/P3075,175
http://www.wikidata.org/prop/direct/P3095,176
http://www.wikidata.org/prop/direct/P31,177
http://www.wikidata.org/prop/direct/P3113,178
http://www.wikidata.org/prop/direct/P3179,179
http://www.wikidata.org/prop/direct/P3320,180
http://www.wikidata.org/prop/direct/P3342,181
http://www.wikidata.org/prop/direct/P3373,182
http://www.wikidata.org/prop/direct/P3403,183
http://www.wikidata.org/prop/direct/P3438,184
http://www.wikidata.org/prop/direct/P35,185
http://www.wikidata.org/prop/direct/P355,186
http://www.wikidata.org/prop/direct/P36,187
http://www.wikidata.org/prop/direct/P360,188
http://www.wikidata.org/prop/direct/P3602,189
http://www.wikidata.org/prop/direct/P361,190
http://www.wikidata.org/prop/direct/P366,191
http://www.wikidata.org/prop/direct/P37,192
http://www.wikidata.org/prop/direct/P3712,193
http://www.wikidata.org/prop/direct/P3729,194
http://www.wikidata.org/prop/direct/P3730,195
http://www.wikidata.org/prop/direct/P38,196
http://www.wikidata.org/prop/direct/P3876,197
http://www.wikidata.org/prop/direct/P39,198
http://www.wikidata.org/prop/direct/P3919,199
http://www.wikidata.org/prop/direct/P3938,200
http://www.wikidata.org/prop/direct/P3989,201
http://www.wikidata.org/prop/direct/P40,202
http://www.wikidata.org/prop/direct/P400,203
http://www.wikidata.org/prop/direct/P403,204
http://www.wikidata.org/prop/direct/P407,205
http://www.wikidata.org/prop/direct/P408,206
http://www.wikidata.org/prop/direct/P413,207
http://www.wikidata.org/prop/direct/P414,208
http://www.wikidata.org/prop/direct/P417,209
http://www.wikidata.org/prop/direct/P418,210
http://www.wikidata.org/prop/direct/P4195,211
http://www.wikidata.org/prop/direct/P421,212
http://www.wikidata.org/prop/direct/P425,213
http://www.wikidata.org/prop/direct/P4290,214
http://www.wikidata.org/prop/direct/P437,215
http://www.wikidata.org/prop/direct/P449,216
http://www.wikidata.org/prop/direct/P451,217
http://www.wikidata.org/prop/direct/P452,218
http://www.wikidata.org/prop/direct/P457,219
http://www.wikidata.org/prop/direct/P460,220
http://www.wikidata.org/prop/direct/P461,221
http://www.wikidata.org/prop/direct/P462,222
http://www.wikidata.org/prop/direct/P463,223
http://www.wikidata.org/prop/direct/P466,224
http://www.wikidata.org/prop/direct/P47,225
http://www.wikidata.org/prop/direct/P4777,226
http://www.wikidata.org/prop/direct/P479,227
http://www.wikidata.org/prop/direct/P485,228
http://www.wikidata.org/prop/direct/P488,229
http://www.wikidata.org/prop/direct/P495,230
http://www.wikidata.org/prop/direct/P50,231
http://www.wikidata.org/prop/direct/P5008,232
http://www.wikidata.org/prop/direct/P501,233
http://www.wikidata.org/prop/direct/P5052,234
http://www.wikidata.org/prop/direct/P509,235
http://www.wikidata.org/prop/direct/P511,236
http://www.wikidata.org/prop/direct/P512,237
http://www.wikidata.org/prop/direct/P5125,238
http://www.wikidata.org/prop/direct/P5203,239
http://www.wikidata.org/prop/direct/P527,240
http://www.wikidata.org/prop/direct/P5278,241
http://www.wikidata.org/prop/direct/P530,242
http://www.wikidata.org/prop/direct/P5323,243
http://www.wikidata.org/prop/direct/P54,244
http://www.wikidata.org/prop/direct/P5460,245
http://www.wikidata.org/prop/direct/P551,246
http://www.wikidata.org/prop/direct/P553,247
http://www.wikidata.org/prop/direct/P5572,248
http://www.wikidata.org/prop/direct/P5658,249
http://www.wikidata.org/prop/direct/P57,250
http://www.wikidata.org/prop/direct/P58,251
http://www.wikidata.org/prop/direct/P5869,252
http://www.wikidata.org/prop/direct/P6,253
http://www.wikidata.org/prop/direct/P607,254
http://www.wikidata.org/prop/direct/P61,255
http://www.wikidata.org/prop/direct/P610,256
http://www.wikidata.org/prop/direct/P6104,257
http://www.wikidata.org/prop/direct/P6153,258
http://www.wikidata.org/prop/direct/P6186,259
http://www.wikidata.org/prop/direct/P6216,260
http://www.wikidata.org/prop/direct/P6275,261
http://www.wikidata.org/prop/direct/P629,262
http://www.wikidata.org/prop/direct/P6364,263
http://www.wikidata.org/prop/direct/P6379,264
http://www.wikidata.org/prop/direct/P641,265
http://www.wikidata.org/prop/direct/P6440,266
http://www.wikidata.org/prop/direct/P664,267
http://www.wikidata.org/prop/direct/P684,268
http://www.wikidata.org/prop/direct/P688,269
http://www.wikidata.org/prop/direct/P6885,270
http://www.wikidata.org/prop/direct/P6886,271
http://www.wikidata.org/prop/direct/P69,272
http://www.wikidata.org/prop/direct/P6954,273
http://www.wikidata.org/prop/direct/P703,274
http://www.wikidata.org/prop/direct/P706,275
http://www.wikidata.org/prop/direct/P708,276
http://www.wikidata.org/prop/direct/P7084,277
http://www.wikidata.org/prop/direct/P710,278
http://www.wikidata.org/prop/direct/P734,279
http://www.wikidata.org/prop/direct/P735,280
http://www.wikidata.org/prop/direct/P737,281
http://www.wikidata.org/prop/direct/P740,282
http://www.wikidata.org/prop/direct/P749,283
http://www.wikidata.org/prop/direct/P750,284
http://www.wikidata.org/prop/direct/P7763,285
http://www.wikidata.org/prop/direct/P7781,286
http://www.wikidata.org/prop/direct/P78,287
http://www.wikidata.org/prop/direct/P7867,288
http://www.wikidata.org/prop/direct/P793,289
http://www.wikidata.org/prop/direct/P7936,290
http://www.wikidata.org/prop/direct/P7937,291
http://www.wikidata.org/prop/direct/P7938,292
http://www.wikidata.org/prop/direct/P7959,293
http://www.wikidata.org/prop/direct/P797,294
http://www.wikidata.org/prop/direct/P800,295
http://www.wikidata.org/prop/direct/P802,296
http://www.wikidata.org/prop/direct/P805,297
http://www.wikidata.org/prop/direct/P807,298
http://www.wikidata.org/prop/direct/P8115,299
http://www.wikidata.org/prop/direct/P8138,300
http://www.wikidata.org/prop/direct/P822,301
http://www.wikidata.org/prop/direct/P8225,302
http://www.wikidata.org/prop/direct/P828,303
http://www.wikidata.org/prop/direct/P832,304
http://www.wikidata.org/prop/direct/P8324,305
http://www.wikidata.org/prop/direct/P8363,306
