model,embedding_dim,epochs,batch_size,learning_rate,negative_sampler,MRR,Hits@1,Hits@3,Hits@10,Hits@20,Hits@30,Hits@40
TransE,100,100,256,0.001,PseudoTyped,0.0472400821745395,0.0031172069825436,0.071072319201995,0.1187655860349127,0.1418329177057356,0.1586658354114713,0.1720698254364089
ComplEx,100,100,256,0.001,PseudoTyped,0.0003123492933809,0.0,0.0,0.0003117206982543,0.0006234413965087,0.0018703241895261,0.0021820448877805
