subject,relation,object,subject_uri,relation_uri,object_uri,object_type
Sidewalk Labs,showcase,Singapore,http://example.org/entity/Sidewalk_Labs,http://example.org/relation/showcase,http://example.org/entity/Singapore,entity
Sidewalk Labs,showcase,Smart Nation Initiative,http://example.org/entity/Sidewalk_Labs,http://example.org/relation/showcase,http://example.org/entity/Smart_Nation_Initiative,entity
Sidewalk Labs,showcase,Toronto,http://example.org/entity/Sidewalk_Labs,http://example.org/relation/showcase,http://example.org/entity/Toronto,entity
Siemens,platform,Honeywell,http://example.org/entity/Siemens,http://example.org/relation/platform,http://example.org/entity/Honeywell,entity
Siemens,retrieve,2004,http://example.org/entity/Siemens,http://example.org/relation/retrieve,,literal
Siemens PLM Software,dominate,PTC,http://example.org/entity/Siemens_PLM_Software,http://example.org/relation/dominate,http://example.org/entity/PTC,entity
Singapore,experience,the National Computer Board,http://example.org/entity/Singapore,http://example.org/relation/experience,http://example.org/entity/the_National_Computer_Board,entity
Singapore,forecast,New York City,http://example.org/entity/Singapore,http://example.org/relation/forecast,http://example.org/entity/New_York_City,entity
Singapore,forecast,Tokyo,http://example.org/entity/Singapore,http://example.org/relation/forecast,http://example.org/entity/Tokyo,entity
Singapore,showcase,Smart Nation Initiative,http://example.org/entity/Singapore,http://example.org/relation/showcase,http://example.org/entity/Smart_Nation_Initiative,entity
Skywalker,turnOff,1977,http://example.org/entity/Skywalker,http://example.org/relation/turnOff,,literal
Slovakia,establish,BIMaS,http://example.org/entity/Slovakia,http://example.org/relation/establish,http://example.org/entity/BIMaS,entity
Slovakia,establish,January 2013,http://example.org/entity/Slovakia,http://example.org/relation/establish,http://example.org/entity/January_2013,entity
Sokolowski,design,2009,http://example.org/entity/Sokolowski,http://example.org/relation/design,,literal
Sokolowski,design,Banks,http://example.org/entity/Sokolowski,http://example.org/relation/design,http://example.org/entity/Banks,entity
Solomonoff,archive,26 April 2011,http://example.org/entity/Solomonoff,http://example.org/relation/archive,http://example.org/entity/26_April_2011,entity
Soramäki,economize,Reserve Bank of New York Economic Policy Review,http://example.org/entity/Soram%C3%A4ki,http://example.org/relation/economize,http://example.org/entity/Reserve_Bank_of_New_York_Economic_Policy_Review,entity
South,fade,1697,http://example.org/entity/South,http://example.org/relation/fade,,literal
South Africa,establish,May 2015,http://example.org/entity/South_Africa,http://example.org/relation/establish,http://example.org/entity/May_2015,entity
South Korea,exist,the 1990s,http://example.org/entity/South_Korea,http://example.org/relation/exist,http://example.org/entity/the_1990s,entity
Spain,establish,ITeC,http://example.org/entity/Spain,http://example.org/relation/establish,http://example.org/entity/ITeC,entity
Spain,launch,2018,http://example.org/entity/Spain,http://example.org/relation/launch,,literal
Spain,launch,BIM,http://example.org/entity/Spain,http://example.org/relation/launch,http://example.org/entity/BIM,entity
Spain,launch,Ministry of Infrastructure,http://example.org/entity/Spain,http://example.org/relation/launch,http://example.org/entity/Ministry_of_Infrastructure,entity
Steel Construction Institute,develop,the late 1990s,http://example.org/entity/Steel_Construction_Institute,http://example.org/relation/develop,http://example.org/entity/the_late_1990s,entity
Steel Construction Institute,late1990Input,Georgia Tech,http://example.org/entity/Steel_Construction_Institute,http://example.org/relation/late1990Input,http://example.org/entity/Georgia_Tech,entity
SteelVis,viewer,NIST,http://example.org/entity/SteelVis,http://example.org/relation/viewer,http://example.org/entity/NIST,entity
Stockholm,see,Hong Kong,http://example.org/entity/Stockholm,http://example.org/relation/see,http://example.org/entity/Hong_Kong,entity
Stockholm,see,the Cyberport Zone,http://example.org/entity/Stockholm,http://example.org/relation/see,http://example.org/entity/the_Cyberport_Zone,entity
Switzerland,raise,2009,http://example.org/entity/Switzerland,http://example.org/relation/raise,,literal
Switzerland,raise,2013,http://example.org/entity/Switzerland,http://example.org/relation/raise,,literal
Switzerland,throughInitiative,2013,http://example.org/entity/Switzerland,http://example.org/relation/throughInitiative,,literal
Sydney Australia,page,Yu-Tung Liu,http://example.org/entity/Sydney_Australia,http://example.org/relation/page,http://example.org/entity/Yu-Tung_Liu,entity
Taipei,showcase,Taiwan,http://example.org/entity/Taipei,http://example.org/relation/showcase,http://example.org/entity/Taiwan,entity
"Taoyuan,[165",partner,Tainan[166,http://example.org/entity/Taoyuan%2C%5B165,http://example.org/relation/partner,http://example.org/entity/Tainan%5B166,entity
Tencent,clash,China,http://example.org/entity/Tencent,http://example.org/relation/clash,http://example.org/entity/China,entity
Tencent,launch,Tencent Doctorwork,http://example.org/entity/Tencent,http://example.org/relation/launch,http://example.org/entity/Tencent_Doctorwork,entity
Tencent,launch,WeChat Intelligent Healthcare,http://example.org/entity/Tencent,http://example.org/relation/launch,http://example.org/entity/WeChat_Intelligent_Healthcare,entity
Tencent,shape,China,http://example.org/entity/Tencent,http://example.org/relation/shape,http://example.org/entity/China,entity
The BCA Academy,train,Japan,http://example.org/entity/The_BCA_Academy,http://example.org/relation/train,http://example.org/entity/Japan,entity
The European Commission,establish,2012,http://example.org/entity/The_European_Commission,http://example.org/relation/establish,,literal
The European Commission,establish,the Smart Cities Marketplace,http://example.org/entity/The_European_Commission,http://example.org/relation/establish,http://example.org/entity/the_Smart_Cities_Marketplace,entity
The First Year,describe,China,http://example.org/entity/The_First_Year,http://example.org/relation/describe,http://example.org/entity/China,entity
The MIT Press,reprint,1991,http://example.org/entity/The_MIT_Press,http://example.org/relation/reprint,,literal
The MIT Press,reprint,Cambridge,http://example.org/entity/The_MIT_Press,http://example.org/relation/reprint,http://example.org/entity/Cambridge,entity
The MIT Press,reprint,MA,http://example.org/entity/The_MIT_Press,http://example.org/relation/reprint,http://example.org/entity/MA,entity
The Ministry of Science and Technology,announce,MOST,http://example.org/entity/The_Ministry_of_Science_and_Technology,http://example.org/relation/announce,http://example.org/entity/MOST,entity
The Netherlands,say,UK,http://example.org/entity/The_Netherlands,http://example.org/relation/say,http://example.org/entity/UK,entity
The Sun,archive,Nigeria,http://example.org/entity/The_Sun,http://example.org/relation/archive,http://example.org/entity/Nigeria,entity
The University of Sydney,offer,the University of New South Wales,http://example.org/entity/The_University_of_Sydney,http://example.org/relation/offer,http://example.org/entity/the_University_of_New_South_Wales,entity
The Wall Street Journal,note,2008,http://example.org/entity/The_Wall_Street_Journal,http://example.org/relation/note,,literal
The Wall Street Journal,note,Rebellion Research,http://example.org/entity/The_Wall_Street_Journal,http://example.org/relation/note,http://example.org/entity/Rebellion_Research,entity
Tokyo,forecast,New York City,http://example.org/entity/Tokyo,http://example.org/relation/forecast,http://example.org/entity/New_York_City,entity
Tomasz Imieliński,introduce,Arun Swami,http://example.org/entity/Tomasz_Imieli%C5%84ski,http://example.org/relation/introduce,http://example.org/entity/Arun_Swami,entity
Toronto,showcase,Singapore,http://example.org/entity/Toronto,http://example.org/relation/showcase,http://example.org/entity/Singapore,entity
Toronto,showcase,Smart Nation Initiative,http://example.org/entity/Toronto,http://example.org/relation/showcase,http://example.org/entity/Smart_Nation_Initiative,entity
UAE,set,Quality and Conformity Commission,http://example.org/entity/UAE,http://example.org/relation/set,http://example.org/entity/Quality_and_Conformity_Commission,entity
UK,adopt,US,http://example.org/entity/UK,http://example.org/relation/adopt,http://example.org/entity/US,entity
UK,call,Paul Morrell,http://example.org/entity/UK,http://example.org/relation/call,http://example.org/entity/Paul_Morrell,entity
UK,describe,2011,http://example.org/entity/UK,http://example.org/relation/describe,,literal
UK,develop,Steel Construction Institute,http://example.org/entity/UK,http://example.org/relation/develop,http://example.org/entity/Steel_Construction_Institute,entity
UK,develop,US,http://example.org/entity/UK,http://example.org/relation/develop,http://example.org/entity/US,entity
UK,develop,the late 1990s,http://example.org/entity/UK,http://example.org/relation/develop,http://example.org/entity/the_late_1990s,entity
UK,find,Commission for Racial Equality,http://example.org/entity/UK,http://example.org/relation/find,http://example.org/entity/Commission_for_Racial_Equality,entity
UK,find,St. George's Medical School,http://example.org/entity/UK,http://example.org/relation/find,http://example.org/entity/St._George%27s_Medical_School,entity
UK,former,GMW,http://example.org/entity/UK,http://example.org/relation/former,http://example.org/entity/GMW,entity
UK,formerEmployee,Jonathan Ingram,http://example.org/entity/UK,http://example.org/relation/formerEmployee,http://example.org/entity/Jonathan_Ingram,entity
UK,help,US,http://example.org/entity/UK,http://example.org/relation/help,http://example.org/entity/US,entity
UK,late1990Input,Georgia Tech,http://example.org/entity/UK,http://example.org/relation/late1990Input,http://example.org/entity/Georgia_Tech,entity
UK,merge,Ireland,http://example.org/entity/UK,http://example.org/relation/merge,http://example.org/entity/Ireland,entity
UK,processPractice112,National Building Specification,http://example.org/entity/UK,http://example.org/relation/processPractice112,http://example.org/entity/National_Building_Specification,entity
UK,work,Royal Academy of Engineering;[6,http://example.org/entity/UK,http://example.org/relation/work,http://example.org/entity/Royal_Academy_of_Engineering%3B%5B6,entity
UK BIM Alliance,launch,BSI,http://example.org/entity/UK_BIM_Alliance,http://example.org/relation/launch,http://example.org/entity/BSI,entity
UK BIM Alliance,launch,CDBB,http://example.org/entity/UK_BIM_Alliance,http://example.org/relation/launch,http://example.org/entity/CDBB,entity
UK BIM Alliance,merge,BIM,http://example.org/entity/UK_BIM_Alliance,http://example.org/relation/merge,http://example.org/entity/BIM,entity
UN,forecast,2100,http://example.org/entity/UN,http://example.org/relation/forecast,,literal
UN,member,United States,http://example.org/entity/UN,http://example.org/relation/member,http://example.org/entity/United_States,entity
US,base,National Institute of Building Sciences,http://example.org/entity/US,http://example.org/relation/base,http://example.org/entity/National_Institute_of_Building_Sciences,entity
US,estimate,Institute of Standards and Technology,http://example.org/entity/US,http://example.org/relation/estimate,http://example.org/entity/Institute_of_Standards_and_Technology,entity
US,estimate,NIST,http://example.org/entity/US,http://example.org/relation/estimate,http://example.org/entity/NIST,entity
US,know,Design and Computation,http://example.org/entity/US,http://example.org/relation/know,http://example.org/entity/Design_and_Computation,entity
United Arab Emirates,issue,2014,http://example.org/entity/United_Arab_Emirates,http://example.org/relation/issue,,literal
United Kingdom,call,May 2011,http://example.org/entity/United_Kingdom,http://example.org/relation/call,http://example.org/entity/May_2011,entity
United Kingdom,call,Paul Morrell,http://example.org/entity/United_Kingdom,http://example.org/relation/call,http://example.org/entity/Paul_Morrell,entity
United Kingdom,call,UK,http://example.org/entity/United_Kingdom,http://example.org/relation/call,http://example.org/entity/UK,entity
United States,require,Associated General Contractors of America,http://example.org/entity/United_States,http://example.org/relation/require,http://example.org/entity/Associated_General_Contractors_of_America,entity
United States,require,US,http://example.org/entity/United_States,http://example.org/relation/require,http://example.org/entity/US,entity
University of Melbourne,include,Carnegie Mellon,http://example.org/entity/University_of_Melbourne,http://example.org/relation/include,http://example.org/entity/Carnegie_Mellon,entity
University of Melbourne,include,Department of Computer Science,http://example.org/entity/University_of_Melbourne,http://example.org/relation/include,http://example.org/entity/Department_of_Computer_Science,entity
University of Melbourne,include,School of Architecture,http://example.org/entity/University_of_Melbourne,http://example.org/relation/include,http://example.org/entity/School_of_Architecture,entity
