private_entity,external_uri,wikidata_uri,wikidata_qid,matched_label,description,confidence,conversion_status
Bernard P. Zeigler,http://www.wikidata.org/entity/Q16105529,http://www.wikidata.org/entity/Q16105529,Q16105529,Bernard P. Zeigler,engineer,1.0,converted_or_already_wikidata
Berry,http://www.wikidata.org/entity/Q827140,http://www.wikidata.org/entity/Q827140,Q827140,Berry,family name,1.0,converted_or_already_wikidata
Big Chaos,,,,Big Chaos,,0.0,not_converted
Bill East,,,,Bill East,,0.0,not_converted
Bing,http://www.wikidata.org/entity/Q182496,http://www.wikidata.org/entity/Q182496,Q182496,Microsoft Bing,web search engine from Microsoft,1.0,converted_or_already_wikidata
Birger Sevaldson,,,,Birger Sevaldson,,0.0,not_converted
Bischof,http://www.wikidata.org/entity/Q866108,http://www.wikidata.org/entity/Q866108,Q866108,Bischof,family name,1.0,converted_or_already_wikidata
Bishop,http://www.wikidata.org/entity/Q611644,http://www.wikidata.org/entity/Q611644,Q611644,Catholic bishop,"ordained minister in the Catholic Church (for other religious denominations, use Q29182)",1.0,converted_or_already_wikidata
Bloomberg Philanthropies,http://www.wikidata.org/entity/Q16987920,http://www.wikidata.org/entity/Q16987920,Q16987920,Bloomberg Philanthropies,charitable organization,1.0,converted_or_already_wikidata
Boston,http://www.wikidata.org/entity/Q100,http://www.wikidata.org/entity/Q100,Q100,Boston,"capital and largest city of Massachusetts, United States",1.0,converted_or_already_wikidata
British Standards Institute,,,,British Standards Institute,,0.0,not_converted
Bruzzone A.G.,,,,Bruzzone A.G.,,0.0,not_converted
Brydges,http://www.wikidata.org/entity/Q21507019,http://www.wikidata.org/entity/Q21507019,Q21507019,Brydges,family name,1.0,converted_or_already_wikidata
Buckminster Fuller's,http://www.wikidata.org/entity/Q110890662,http://www.wikidata.org/entity/Q110890662,Q110890662,Buckminster Fuller's Dymaxion Deployment Unit,1941 exhibition at Museum of Modern Art,1.0,converted_or_already_wikidata
BuildSmart,,,,BuildSmart,,0.0,not_converted
Building and Construction Authority,http://www.wikidata.org/entity/Q4986523,http://www.wikidata.org/entity/Q4986523,Q4986523,Building and Construction Authority,statutory board under the Ministry of National Development of the Singapore Government,1.0,converted_or_already_wikidata
BuildingSmart Hong Kong,,,,BuildingSmart Hong Kong,,0.0,not_converted
C. A. Brebbia,,,,C. A. Brebbia,,0.0,not_converted
CAEWatch,,,,CAEWatch,,0.0,not_converted
CANBIM,,,,CANBIM,,0.0,not_converted
CDBB,,,,CDBB,,0.0,not_converted
CIA,,,,CIA,,0.0,not_converted
CIDB Malaysia,,,,CIDB Malaysia,,0.0,not_converted
CRIDA,http://www.wikidata.org/entity/Q77163370,http://www.wikidata.org/entity/Q77163370,Q77163370,Crida,family name,1.0,converted_or_already_wikidata
CSTB,http://www.wikidata.org/entity/Q17911028,http://www.wikidata.org/entity/Q17911028,Q17911028,CSTB,protein-coding gene in the species Homo sapiens,1.0,converted_or_already_wikidata
CT197-BIM,,,,CT197-BIM,,0.0,not_converted
Cambridge,http://www.wikidata.org/entity/Q49111,http://www.wikidata.org/entity/Q49111,Q49111,Cambridge,"city in Middlesex County, Massachusetts, United States of America",1.0,converted_or_already_wikidata
Canada,http://www.wikidata.org/entity/Q16,http://www.wikidata.org/entity/Q16,Q16,Canada,country in North America,1.0,converted_or_already_wikidata
Carnegie Mellon,http://www.wikidata.org/entity/Q190080,http://www.wikidata.org/entity/Q190080,Q190080,Carnegie Mellon University,"private research university in Pittsburgh, Pennsylvania, United States",1.0,converted_or_already_wikidata
Celestino Soddu,http://www.wikidata.org/entity/Q5057948,http://www.wikidata.org/entity/Q5057948,Q5057948,Celestino Soddu,Italian architect,1.0,converted_or_already_wikidata
Centre for Digital Built Britain,http://www.wikidata.org/entity/Q85751274,http://www.wikidata.org/entity/Q85751274,Q85751274,Centre for Digital Built Britain,,1.0,converted_or_already_wikidata
Chamber of Architects,http://www.wikidata.org/entity/Q635047,http://www.wikidata.org/entity/Q635047,Q635047,Chamber of Architects,type of architectural association in Germany,1.0,converted_or_already_wikidata
Chan,http://www.wikidata.org/entity/Q29011444,http://www.wikidata.org/entity/Q29011444,Q29011444,Chan,family name,1.0,converted_or_already_wikidata
Chicoutimi,http://www.wikidata.org/entity/Q952269,http://www.wikidata.org/entity/Q952269,Q952269,Chicoutimi,"borough in Saguenay, Quebec, Canada, former city",1.0,converted_or_already_wikidata
China,http://www.wikidata.org/entity/Q148,http://www.wikidata.org/entity/Q148,Q148,People's Republic of China,country in East Asia,1.0,converted_or_already_wikidata
Christchurch,http://www.wikidata.org/entity/Q79990,http://www.wikidata.org/entity/Q79990,Q79990,Christchurch,largest city in the South Island of New Zealand,1.0,converted_or_already_wikidata
Christmas,http://www.wikidata.org/entity/Q16826756,http://www.wikidata.org/entity/Q16826756,Q16826756,Christmas,family name,1.0,converted_or_already_wikidata
Christopher R.,http://www.wikidata.org/entity/Q109551603,http://www.wikidata.org/entity/Q109551603,Q109551603,Christopher R. Hain,researcher (ORCID 0000-0002-0093-6816),1.0,converted_or_already_wikidata
Chuck Eastman's,,,,Chuck Eastman's,,0.0,not_converted
Cisco,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q173395,Q173395,Cisco,American multinational technology company,1.0,converted_or_already_wikidata
Cisco Systems,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q173395,Q173395,Cisco,American multinational technology company,1.0,converted_or_already_wikidata
Commission for Racial Equality,http://www.wikidata.org/entity/Q5152654,http://www.wikidata.org/entity/Q5152654,Q5152654,Commission for Racial Equality,former British non-departmental public body,1.0,converted_or_already_wikidata
Computational Logic,http://www.wikidata.org/entity/Q5157327,http://www.wikidata.org/entity/Q5157327,Q5157327,computational logic,use of logic to perform or reason about computation,1.0,converted_or_already_wikidata
Critical Research in Digital Architecture,,,,Critical Research in Digital Architecture,,0.0,not_converted
Czech Republic,http://www.wikidata.org/entity/Q213,http://www.wikidata.org/entity/Q213,Q213,Czech Republic,country in Central Europe,1.0,converted_or_already_wikidata
DBpedia,http://www.wikidata.org/entity/Q465,http://www.wikidata.org/entity/Q465,Q465,DBpedia,online database project of structured data extracted from Wikipedia,1.0,converted_or_already_wikidata
Dahua Technology,http://www.wikidata.org/entity/Q18111506,http://www.wikidata.org/entity/Q18111506,Q18111506,Dahua Technology,Chinese video surveillance products company,1.0,converted_or_already_wikidata
Dassault Systèmes,http://www.wikidata.org/entity/Q1172038,http://www.wikidata.org/entity/Q1172038,Q1172038,Dassault Systèmes,"French software company headquartered in Vélizy-Villacoublay, France",1.0,converted_or_already_wikidata
David K. Owens,,,,David K. Owens,,0.0,not_converted
David Rumelhart,http://www.wikidata.org/entity/Q93111,http://www.wikidata.org/entity/Q93111,Q93111,David Rumelhart,American psychologist (1942-2011),1.0,converted_or_already_wikidata
Deakin,http://www.wikidata.org/entity/Q1180978,http://www.wikidata.org/entity/Q1180978,Q1180978,Deakin University,"public university in Melbourne, Australia",1.0,converted_or_already_wikidata
December 2011,http://www.wikidata.org/entity/Q386251,http://www.wikidata.org/entity/Q386251,Q386251,December 2011,month of 2011,1.0,converted_or_already_wikidata
December 2015,http://www.wikidata.org/entity/Q16726269,http://www.wikidata.org/entity/Q16726269,Q16726269,December 2015,month of 2015,1.0,converted_or_already_wikidata
December 2017,http://www.wikidata.org/entity/Q22971091,http://www.wikidata.org/entity/Q22971091,Q22971091,December 2017,month of 2017,1.0,converted_or_already_wikidata
Deloitte,http://www.wikidata.org/entity/Q491748,http://www.wikidata.org/entity/Q491748,Q491748,Deloitte,multinational professional services network founded in 1845,1.0,converted_or_already_wikidata
Department for Public Expenditure and Reform,,,,Department for Public Expenditure and Reform,,0.0,not_converted
Department of Computer Science,http://www.wikidata.org/entity/Q5260203,http://www.wikidata.org/entity/Q5260203,Q5260203,Department of Computer Science,academic department at the University of Toronto,1.0,converted_or_already_wikidata
Design and Computation,http://www.wikidata.org/entity/Q26751087,http://www.wikidata.org/entity/Q26751087,Q26751087,Design and computational analysis of single-cell RNA-sequencing experiments,scientific article,1.0,converted_or_already_wikidata
Digitaalehituse Klaster,,,,Digitaalehituse Klaster,,0.0,not_converted
Digital Construction in Lithuania,,,,Digital Construction in Lithuania,,0.0,not_converted
Disney,http://www.wikidata.org/entity/Q7414,http://www.wikidata.org/entity/Q7414,Q7414,The Walt Disney Company,American multinational mass media company,1.0,converted_or_already_wikidata
Domingos,http://www.wikidata.org/entity/Q18695825,http://www.wikidata.org/entity/Q18695825,Q18695825,Domingos,male given name,1.0,converted_or_already_wikidata
Donald Hebb,,,,Donald Hebb,,0.0,not_converted
Drogemuller,,,,Drogemuller,,0.0,not_converted
Duda,http://www.wikidata.org/entity/Q24283002,http://www.wikidata.org/entity/Q24283002,Q24283002,Duda,family name,1.0,converted_or_already_wikidata
ERANet,http://www.wikidata.org/entity/Q63398105,http://www.wikidata.org/entity/Q63398105,Q63398105,ERANet-LAC CODE: International Care Of the Dying Evaluation,clinical trial,1.0,converted_or_already_wikidata
ESPN,http://www.wikidata.org/entity/Q217776,http://www.wikidata.org/entity/Q217776,Q217776,ESPN,American broadcast sports network,1.0,converted_or_already_wikidata
Eastman,http://www.wikidata.org/entity/Q3046582,http://www.wikidata.org/entity/Q3046582,Q3046582,Eastman,"municipality in Estrie, Quebec, Canada",1.0,converted_or_already_wikidata
"Eastman, et al",,,,"Eastman, et al",,0.0,not_converted
Economist,http://www.wikidata.org/entity/Q188094,http://www.wikidata.org/entity/Q188094,Q188094,economist,professional in the discipline of economics,1.0,converted_or_already_wikidata
Eder-Van Hook,,,,Eder-Van Hook,,0.0,not_converted
Edgar W. Schneider,http://www.wikidata.org/entity/Q83154480,http://www.wikidata.org/entity/Q83154480,Q83154480,Edgar W. Schneider,Austrian linguist,1.0,converted_or_already_wikidata
Edward Bellamy,http://www.wikidata.org/entity/Q455776,http://www.wikidata.org/entity/Q455776,Q455776,Edward Bellamy,American author and socialist (1850–1898),1.0,converted_or_already_wikidata
Edward L.,,,,Edward L.,,0.0,not_converted
Ehrlinger,http://www.wikidata.org/entity/Q37485558,http://www.wikidata.org/entity/Q37485558,Q37485558,Ehrlinger,family name,1.0,converted_or_already_wikidata
Ehud Shapiro,http://www.wikidata.org/entity/Q5348683,http://www.wikidata.org/entity/Q5348683,Q5348683,Ehud Shapiro,Israeli computer scientist,1.0,converted_or_already_wikidata
Ehud Y.,http://www.wikidata.org/entity/Q67241453,http://www.wikidata.org/entity/Q67241453,Q67241453,Ehud Y. Isacoff,neurobiologist,1.0,converted_or_already_wikidata
Eleventh,http://www.wikidata.org/entity/Q1930430,http://www.wikidata.org/entity/Q1930430,Q1930430,eleventh,musical interval spanning 11 staff positions,1.0,converted_or_already_wikidata
Encyclopedia of Computer Science,http://www.wikidata.org/entity/Q126683668,http://www.wikidata.org/entity/Q126683668,Q126683668,Encyclopedia of Computer Science,,1.0,converted_or_already_wikidata
Encyclopedia of Database Systems,http://www.wikidata.org/entity/Q63033999,http://www.wikidata.org/entity/Q63033999,Q63033999,Encyclopedia of Database Systems,2009 edition of the Encyclopedia of Database Systems published online by Springer,1.0,converted_or_already_wikidata
Enterprise Estonia,http://www.wikidata.org/entity/Q11858046,http://www.wikidata.org/entity/Q11858046,Q11858046,Enterprise Estonia,former entrepreneurship and regional development foundation in Estonia,1.0,converted_or_already_wikidata
Erezi,,,,Erezi,,0.0,not_converted
Erich,http://www.wikidata.org/entity/Q15277196,http://www.wikidata.org/entity/Q15277196,Q15277196,Erich,male given name,1.0,converted_or_already_wikidata
Ericsson,http://www.wikidata.org/entity/Q52618,http://www.wikidata.org/entity/Q52618,Q52618,Ericsson,Swedish provider of communications technology and services,1.0,converted_or_already_wikidata
Eriksson,http://www.wikidata.org/entity/Q1354604,http://www.wikidata.org/entity/Q1354604,Q1354604,Eriksson,family name,1.0,converted_or_already_wikidata
Estonia,http://www.wikidata.org/entity/Q191,http://www.wikidata.org/entity/Q191,Q191,Estonia,country in Northern Europe,1.0,converted_or_already_wikidata
European BIM,,,,European BIM,,0.0,not_converted
European Structural and Investment Funds,http://www.wikidata.org/entity/Q846996,http://www.wikidata.org/entity/Q846996,Q846996,European Structural and Investment Funds,"financial funds of the European Commission for the social, economic and territorial cohesion of the European Union",1.0,converted_or_already_wikidata
F. P. Tolman.[16,,,,F. P. Tolman.[16,,0.0,not_converted
Facebook,http://www.wikidata.org/entity/Q355,http://www.wikidata.org/entity/Q355,Q355,Facebook,American online social media and social networking service,1.0,converted_or_already_wikidata
"Faculty of Architecture, Building and Planning",,,,"Faculty of Architecture, Building and Planning",,0.0,not_converted
Fashola,http://www.wikidata.org/entity/Q62356,http://www.wikidata.org/entity/Q62356,Q62356,Babatunde Fashola,Nigerian politician,1.0,converted_or_already_wikidata
February 2015,http://www.wikidata.org/entity/Q15985236,http://www.wikidata.org/entity/Q15985236,Q15985236,February 2015,month of 2015,1.0,converted_or_already_wikidata
February 2016,http://www.wikidata.org/entity/Q19249183,http://www.wikidata.org/entity/Q19249183,Q19249183,February 2016,month of 2016,1.0,converted_or_already_wikidata
Felix Platter Hospital[99,,,,Felix Platter Hospital[99,,0.0,not_converted
Feng,http://www.wikidata.org/entity/Q62383161,http://www.wikidata.org/entity/Q62383161,Q62383161,Feng,family name,1.0,converted_or_already_wikidata
FinSESCo,,,,FinSESCo,,0.0,not_converted
Five-Year Plan,http://www.wikidata.org/entity/Q2916326,http://www.wikidata.org/entity/Q2916326,Q2916326,five-year plan,"5-year economic plans by various countries past and present, chiefly in Communist countries",1.0,converted_or_already_wikidata
Ford,http://www.wikidata.org/entity/Q44294,http://www.wikidata.org/entity/Q44294,Q44294,Ford Motor Company,American multinational automotive company,1.0,converted_or_already_wikidata
France,http://www.wikidata.org/entity/Q142,http://www.wikidata.org/entity/Q142,Q142,France,"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)",1.0,converted_or_already_wikidata
Francis Bacon,http://www.wikidata.org/entity/Q154340,http://www.wikidata.org/entity/Q154340,Q154340,Francis Bacon,Irish-born British figurative painter (1909–1992),1.0,converted_or_already_wikidata
Frank Lloyd Wright,http://www.wikidata.org/entity/Q5604,http://www.wikidata.org/entity/Q5604,Q5604,Frank Lloyd Wright,American architect (1867-1959),1.0,converted_or_already_wikidata
Frank Rosenblatt,http://www.wikidata.org/entity/Q93018,http://www.wikidata.org/entity/Q93018,Q93018,Frank Rosenblatt,American psychologist notable in the field of artificial intelligence,1.0,converted_or_already_wikidata
Freebase,http://www.wikidata.org/entity/Q1453477,http://www.wikidata.org/entity/Q1453477,Q1453477,Freebase,online knowledge base (2007–2016),1.0,converted_or_already_wikidata
Friedman,http://www.wikidata.org/entity/Q1451887,http://www.wikidata.org/entity/Q1451887,Q1451887,Friedman,family name,1.0,converted_or_already_wikidata
Fuller,http://www.wikidata.org/entity/Q1158382,http://www.wikidata.org/entity/Q1158382,Q1158382,Fuller,family name,1.0,converted_or_already_wikidata
G.A. van Nederveen,,,,G.A. van Nederveen,,0.0,not_converted
GMW,,,,GMW,,0.0,not_converted
General Electric,http://www.wikidata.org/entity/Q54173,http://www.wikidata.org/entity/Q54173,Q54173,General Electric,American multinational conglomerate,1.0,converted_or_already_wikidata
Generative Art Design Papers,,,,Generative Art Design Papers,,0.0,not_converted
Geoffrey Hinton,http://www.wikidata.org/entity/Q92894,http://www.wikidata.org/entity/Q92894,Q92894,Geoffrey Hinton,British-Canadian computer scientist and psychologist,1.0,converted_or_already_wikidata
Georgia Tech,http://www.wikidata.org/entity/Q864855,http://www.wikidata.org/entity/Q864855,Q864855,Georgia Tech,"public research university in Atlanta, Georgia, United States",1.0,converted_or_already_wikidata
Gerhard Schmitt,http://www.wikidata.org/entity/Q112258986,http://www.wikidata.org/entity/Q112258986,Q112258986,Gerhard Schmitt,,1.0,converted_or_already_wikidata
Germany,http://www.wikidata.org/entity/Q183,http://www.wikidata.org/entity/Q183,Q183,Germany,country in Central Europe,1.0,converted_or_already_wikidata
Glaeser,http://www.wikidata.org/entity/Q36980600,http://www.wikidata.org/entity/Q36980600,Q36980600,Glaeser,family name,1.0,converted_or_already_wikidata
Google,http://www.wikidata.org/entity/Q95,http://www.wikidata.org/entity/Q95,Q95,Google,"American multinational technology company, a subsidiary of Alphabet Inc.",1.0,converted_or_already_wikidata
Google Cloud AI,,,,Google Cloud AI,,0.0,not_converted
Google Photos,http://www.wikidata.org/entity/Q20007086,http://www.wikidata.org/entity/Q20007086,Q20007086,Google Photos,photo storage service developed by Google,1.0,converted_or_already_wikidata
